Supplier ID,Supplier Name,Amount
105903,Berkshire Shared Services,928.12
108197,Bertram Library Services,"7,745.53"
967101,Besam Limited,"1,346.65"
107565,Bessels Leigh School Trust Ltd,"73,305.00"
112347,Bevan Brittan LLP,"1,150.00"
573201,Biolab UK Ltd,"5,060.87"
727501,Bird Hills (UK) Ltd,"1,000.85"
934601,Birdsgrove Nursing Home,"16,372.81"
2322901,Birdwood Nursery School,"13,201.50"
70801,Bishop Sport  & Leisure Ltd,"3,318.79"
106892,Blakedown Landscapes (SE) Ltd,"19,919.48"
112241,Blandy & Blandy,"15,925.20"
108383,Blind Date Blinds Ltd,910.06
105046,Blue Banana Direct Ltd,"1,050.00"
111342,Bluebird Care(Reading Wokingham),"15,428.65"
104682,Bluesky International Ltd,"1,029.25"
853501,BME Imaging Ltd,"4,991.45"
103639,BNP Paribas Lease Group (Rentals),"4,867.91"
104438,Bob Woolmer Sales Limited,"5,159.61"
58702,BOC Ltd,809.37
102771,Bookcentre,640.72
1768101,Bookpoint Limited,"1,079.62"
3017001,Bostock Marketing Group,"6,583.75"
1411501,Bottomline Technologies (Europe),"10,214.07"
112333,Bourne International,913.10
70901,Bowak Ltd,"2,784.48"
1996402,Bracknell & Wokingham College,"8,713.00"
112460,Bracknell Care Home,"6,497.72"
142501,Bracknell Forest Borough Council,"22,333.72"
142507,Bracknell Forest Borough Council,"21,147.89"
108767,Bradbury House Organisation,"10,406.71"
103942,Brady Corp Ltd,"1,398.42"
111972,Bradzone,"6,274.40"
104201,Brake Bros Foodservice Ltd,"22,450.43"
105247,Brambles Foods Ltd,"7,047.20"
107006,Brambles Respite Care Centre,866.70
129801,Bray Parish Council,"4,995.00"
2325501,Bray Pre-School,"15,559.88"
1800301,Braywick Heath Nurseries Ltd,"3,587.86"
2984701,Braywood Montessori School,"10,761.01"
112075,BRC Industrial Roofing Midlands Limited,"1,725.00"
106748,Briar Cottage Day Nursery,"6,057.50"
111561,Briarlea Care Home,"5,708.40"
103948,Bridge Trust Thames Valley,"7,412.00"
112380,Bright A Blind,"1,029.25"
185901,Bright Start Pre-School,"41,010.75"
3797801,British Gas Business,"2,968.81"
63313,British Gas Trading Ltd,"1,577.38"
51517,British Telecommunications Business,"1,033.16"
51511,British Telecommunications Plc,"63,569.86"
51542,British Telecommunications Plc,"6,986.83"
51504,British Telecommunications Plc,865.61
51501,British Telecommunications Plc,805.93
103928,Broadreach House,"4,111.00"
112365,Broadwater School,"2,000.00"
106985,Brochure Connect Ltd,"2,530.00"
106313,Brookhurst Care Ltd,"20,284.97"
112350,Browne Jacobson,"48,000.00"
374203,Broxap Limited,"8,847.87"
186801,Bruce And Lumb Ltd,"1,532.03"
2606901,Brunel Day Centre,"1,428.75"
111319,BSI Management Systems Receipts Office,652.05
108248,BT iNet,"6,907.75"
51543,BT Redcare,"200,793.34"
104716,BT Wholesale Broadband,"8,496.60"
123401,BTC Vehicle Rentals,628.17
186503,Buckinghamshire County Council,"16,510.94"
106029,Buffer Bear at Larchfield,"8,940.38"
304801,Building Design Partnership,"9,200.00"
2511401,Building Research Establishment,"5,807.50"
171101,Bunzl Vending Services Limited,934.14
216601,Burchetts Green PCC - St Marys Church Hurley,917.00
384601,Burchetts Green PCC-St James The Less Church,939.00
101834,Burnham Glazing Ltd,"9,638.91"
2758401,Burnham House Care Centre,"15,770.82"
350201,Business Communications,"1,252.35"
3447901,Busy Bees at Hall Place Nursery,"16,947.25"
2323301,Buttons Playgroup,"12,228.30"
112430,BXL Services,517.50
64001,C & C Electrical Wholesale,671.07
111201,C & S Catering Supplies Ltd,"3,125.85"
112478,C Hummerstone,"1,680.00"
106845,C L D Services Ltd,"1,063.19"
3412301,CA Montessori Childrens Centre,"12,402.88"
4432901,Caci Limited,"3,691.50"
101608,Caltek Healthcare,"3,055.27"
109847,Cane Social Work Consultants Ltd,"24,252.72"
92201,Canon (UK) Ltd,"86,719.52"
102966,Capita Absence Management Services Ltd,"50,369.69"
221202,Capita Business Services Ltd,"259,171.20"
221204,Capita Business Services Ltd (CLOSED 22/05/09),"66,621.80"
221206,Capita Conferences Administration,"1,779.05"
112405,Capital Hygiene Services Limited,"1,084.83"
111296,Caraton Limited,"1,484.27"
103920,Caraton Ltd,"29,050.00"
101041,Care & Independence Systems Ltd,"6,391.06"
107974,Care Monitoring 2000 Ltd,"25,082.33"
647101,Care Response Ltd,"14,201.77"
108307,Care UK Community Partnerships Ltd,"295,765.84"
2245401,Careforce,"184,962.92"
29901,Careline,"11,462.03"
2647301,Carers UK,"1,404.10"
3798101,Caretech Community Services Limited,"37,641.67"
101323,Carewatch (South Bucks & North Berks),"105,365.11"
111675,Carnarvon Consultancy,"11,776.00"
112455,Caroline Bentley Davies,"1,748.00"
106737,Named Individual,950.00
3427901,Carpet & Fabric Care,"2,915.25"
4457501,Carpet homes Ltd,"1,200.00"
4192401,Cascaid Limited,"1,006.25"
108348,Castle Homes Ltd,"79,469.36"
3120301,Castle Produce,936.13
106876,Cater Link Ltd,"12,392.04"
106100,Catering Waste Solutions Ltd,"2,433.40"
102681,CATS Young Peoples Project,"2,000.00"
111212,CBS Outdoor Ltd,"3,076.25"
111600,CCA Customer Contact Association,688.85
100870,CCB Community Council for Berkshire,"5,000.00"
1776602,CCL Consulting Ltd,517.50
382801,Ceetex Leisure Ltd,806.22
292401,CEFM Ltd,"5,831.81"
111072,Central & Cecil,"308,354.55"
149702,Central Law Training,"1,391.50"
104900,Centre Academy,"10,800.00"
2781501,Centrewire Limited,829.38
364401,Cerrig Camu Ltd,"16,132.71"
104371,CF Asset Finance Ltd,"1,095.21"
2291302,CfBT Education Trust,"12,466.67"
108317,Chailey Heritage School,"25,988.00"
2239701,Chalfont Centre For Epilepsy,"36,059.06"
2287301,Chalfont Lodge Nursing Home,"101,690.68"
364501,Chandlers Removals,"4,836.98"
198201,Chapel Cleaning Machines,506.00
1783801,Chapman Petrie,"11,922.76"
106722,Charters Junior Tennis Club,830.00
104516,Charters School Sports Partnership,"4,000.00"
107951,Chatterbox Speech & Language Therapy,600.00
105056,Cheapside Pre-School,"12,909.00"
110695,Chebsey & Co,"3,970.72"
105201,Chemaide Ltd,965.50
2134601,Cherry Garden Nursing Home,"57,825.82"
2134701,Cherry Tree Nursing Home,"4,595.15"
111672,Cherwood House Care Centre,"11,649.55"
101863,Chessington World of Adventure,"4,650.00"
1705301,Child Support Agency Client Fund A/C,"5,703.77"
100169,Childbase Ltd,"14,075.75"
3864401,Children of The World Montessori School,"18,829.50"
232801,Chilmington Homes,"18,692.84"
101865,Chiltern Book Supply,871.86
79901,Chiltern District Council,"50,000.00"
104481,Chiltern Open Air Museum,820.50
109536,Chime,500.00
110945,Chipside Ltd,"1,434.22"
218101,CHOICE LTD,"90,250.32"
108440,Chris Mills,"1,578.40"
4372701,Chrissy Fraser,"4,447.19"
49605,Chubb Fire Ltd,"12,920.11"
49603,Chubb Fire Ltd,"1,289.48"
112361,Churchill Contract Services Ltd,"79,888.28"
1447201,CILIP (Chartered Inst.of Lib.& information Profnl),667.00
449701,CIM Holdings Ltd,"2,591.00"
3304201,CIPD,"1,089.00"
5401,CIPFA,"16,494.00"
2379901,CIPFA Business Limited,"17,796.25"
112160,Citrix Online UK Limited,"1,339.72"
3430701,City Insulation Contractors Ltd,"9,572.60"
100610,City Sightseeing Ltd,"1,762.85"
1937702,Civica,575.00
1937701,Civica UK Ltd,"17,250.00"
111173,CJ Associates Training Ltd,"1,305.25"
2321901,Claires Court Schools Ltd,"41,748.00"
954201,Claires Court Schoos Ltd,"8,786.25"
2426401,Claremont Surgery,"1,179.80"
86601,Clarity Computer Supplies Ltd,"12,922.29"
3445401,Clarity Copiers,648.89
111283,Clarke Elliot Norman Assoc. Ltd,"22,668.13"
74601,Claude Fenton (Construction) Ltd,"423,079.57"
110892,Clean Drain Services,"1,558.25"
3045301,CLEAPSS,"1,687.75"
257401,Clear Drains (UK) Ltd,687.13
100193,Clearaway Drainage Services Limited,"2,754.25"
108727,Clearway CJS Ltd/Dyno-Rod,"5,303.80"
2543701,Clenaware Systems Ltd,"5,963.64"
126103,Clerk To The Justices,"1,290.00"
1685001,Cleveland Sitesafe Ltd,"32,116.45"
107898,CMS,"3,410.00"
104671,Coach Equipment,"2,666.66"
111839,Coachs Corner,"4,363.62"
368701,Coca-Cola Enterprise Ltd,"13,761.75"
106472,Coffeetech Ltd,592.24
1776601,Cogenco Limited,"8,066.91"
105901,Colas Limited,"2,069.72"
112289,Collections Trust,"1,194.85"
246901,Collvett Ltd,840.61
360101,Combined Power (South) Ltd,"10,683.97"
100061,Comet Pump and Engineering Ltd t/asComet Tankers,816.50
103712,Comfort Care Services,"166,781.43"
112041,CommuniKaite Consulting,"1,263.28"
111078,Community Development Service,"1,575.50"
107507,Company Searches,529.00
104629,Complete Care Windsor Ltd,"10,243.81"
2080303,Computacenter (UK) Limited,"51,106.30"
100726,Computerised & Digital Security Systems Ltd,"80,354.24"
108001,Comserve Ltd,"6,690.13"
2428801,Connevans Limited,"2,761.61"
105799,Connexions Berkshire,"427,410.15"
3629601,Consort Environmental Services Ltd,"1,320.20"
105842,Continyou,"1,955.00"
2394001,Contract Trading Services Ltd,"244,114.33"
2323901,Cookham Montessori School,"17,046.76"
216301,Cookham Parish Church,"1,686.00"
130201,Cookham Parish Council,"27,423.00"
3714001,Copse House Farm,"24,823.00"
4456201,Cornerstone & Thomson Roddick,"23,988.58"
112007,Cornerways Childrens Services Ltd,"61,617.03"
106414,Cornwall Care House-Headland Residential Home,"5,891.01"
91201,Corporate Health Ltd,552.76
105565,Cost Cutters,"2,487.32"
108995,Countryside Nurseries,"8,676.33"
