"Aberdeen City Council"
"Barnsley MBC"
"Bath and North East Somerset Council"
"Bradford M.D. Council"
"Brighton & Hove City Council"
"Bristol City Council"
"Buckinghamshire County Council"
"Burnley Borough Council"
"Cambridge City Council"
"Camden Council"
"Cardiff Council"
"Cheshire East Borough Council"
"City and County of Swansea"
"City of Edinburgh Council"
"City of York Council"
"Cotswold District Council"
"Coventry City Council"
"Crawley Borough Council"
"Derby City Council"
"Eastleigh"
"Epping Forest District Council"
"Epsom & Ewell Borough Council"
"Exeter City Council"
"Fylde Borough Council"
"Gateshead Council"
"Gloucester City Council"
"Gloucestershire County Council"
"Greenwich"
"Halton Borough Council"
"Hartlepool Borough Council"
"Hastings Borough Council"
"Havant Borough Council"
"Huntingdonshire District Council"
"Ipswich Borough Council"
"Kingston upon Hull City Council"
"Kirklees Council"
"Knowsley Metropoliltan Borough Council"
"Lancaster City Council"
"LB Hackney"
"LB Islington"
"LB Richmond upon Thames"
"Leicester City Council"
"Lewisham Council"
"Liverpool City Council"
"London Borough of Brent"
"London Borough of Haringey"
"London Borough of Hounslow"
"London Borough of Lambeth"
"London Borough of Merton"
"London Borough of Newham"
"London Borough of Southwark"
"London Borough of Sutton"
"London Borough of Waltham Forest"
"Luton Borough Council"
"Manchester City Council"
"Milton Keynes Council"
"Mole Valley District Council"
"Newcastle upon Tyne City Council"
"North East Derbyshire District Council"
"North Norfolk District Council"
"North Somerset Council"
"Northampton Borough Council"
"Nottingham City Council"
"Oldham Council"
"Pendle Borough Council"
"Portsmouth City Council"
"Reading Borough Council"
"Redcar & Cleveland Borough Council"
"Rhondda Cynon Taff County Borough Council"
"Ribble Valley Borough Council"
"Rochdale Metropolitan Borough Council"
"Rotherham MBC"
"Royal Borough of Kingston upon Thames"
"Salford City Council"
"Sheffield City Council"
"Slough Borough Council"
"Solihull Metropolitan Borough Council"
"South Gloucestershire Council"
"South Oxfordshire District Council"
"South Somerset District Council"
"South Tyneside Council"
"Southampton City Council"
"Stevenage Borough Council"
"Stockport Council"
"Stockton-on-Tees Borough Council"
"Stoke-on-Trent City Council"
"Stroud District Council"
"Suffolk County Council"
"Tameside MBC"
"Taunton Deane Borough Council"
"Teignbridge District Council"
"The Royal Borough of Windsor & Maidenhead"
"Torbay Council"
"Torridge District Council"
"Warrington Borough Council"
"Warwickshire County Council"
"Watford Borough Council"
"West Somerset Council"
"West Sussex"
"Wigan Council"
"Wiltshire Council"
"Wirral Borough Council"
"Wolverhampton City Council"
