"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
1,8,"Barking and Dagenham",,"Goresbrook",,"Jones, Terence J.","United Kingdom Independence Party",367,,,,,,,,,,,,,
1,9,"Barking and Dagenham",,"Heath","*","Fairbrass, Charles J.","Labour",1293,,,,,,,,,,,,,
1,9,"Barking and Dagenham",,"Heath","*","Reason, Linda A.","Labour",1282,,,,,,,,,,,,,
1,9,"Barking and Dagenham",,"Heath","*","Kallar, Sidney   ","Labour",1229,,,,,,,,,,,,,
1,9,"Barking and Dagenham",,"Heath",,"Smith, Christine F.G.","United Kingdom Independence Party",790,,,,,,,,,,,,,
1,9,"Barking and Dagenham",,"Heath",,"East, Harry D.","Conservative",579,,,,,,,,,,,,,
1,9,"Barking and Dagenham",,"Heath",,"White, Margaret R.","Conservative",535,,,,,,,,,,,,,
1,10,"Barking and Dagenham",,"Longbridge","*","Gill, Sukhninder S.","Labour",1272,,,,,,,,,,,,,
1,10,"Barking and Dagenham",,"Longbridge","*","Gill, Nirmal S.S.","Labour",1253,,,,,,,,,,,,,
1,10,"Barking and Dagenham",,"Longbridge","*","Vincent, Gerald M.","Labour",1233,,,,,,,,,,,,,
1,10,"Barking and Dagenham",,"Longbridge",,"Cook, Brian   ","Conservative",1227,,,,,,,,,,,,,
1,10,"Barking and Dagenham",,"Longbridge",,"Cook, Margaret A.","Conservative",1111,,,,,,,,,,,,,
1,10,"Barking and Dagenham",,"Longbridge",,"Richards, Anthony J.","Independent",1072,,,,,,,,,,,,,
1,10,"Barking and Dagenham",,"Longbridge",,"Chytry, Anthony B.","Conservative",910,,,,,,,,,,,,,
1,10,"Barking and Dagenham",,"Longbridge",,"Burchill, James J.","United Kingdom Independence Party",701,,,,,,,,,,,,,
1,10,"Barking and Dagenham",,"Longbridge",,"Cleeland, Laurence N.","Green",588,,,,,,,,,,,,,
1,11,"Barking and Dagenham",,"Mayesbrook","*","Buckley, Robert J.","British National Party",1145,,,,,,,,,,,,,
1,11,"Barking and Dagenham",,"Mayesbrook","*","Knight, Christine A.","British National Party",1070,,,,,,,,,,,,,
1,11,"Barking and Dagenham",,"Mayesbrook","*","Hunt, Dorothy M.","Labour",845,,,,,,,,,,,,,
1,11,"Barking and Dagenham",,"Mayesbrook",,"Patten, Vivian P.A.","United Kingdom Independence Party",741,,,,,,,,,,,,,
1,11,"Barking and Dagenham",,"Mayesbrook",,"Smith, Kerry J.","United Kingdom Independence Party",733,,,,,,,,,,,,,
1,11,"Barking and Dagenham",,"Mayesbrook",,"Bolton, John T.","United Kingdom Independence Party",697,,,,,,,,,,,,,
