"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet","*","Evans, Olwen M.","Conservative",2430,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Harney, Austin   ","Labour",1567,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Javes, Howard T.C.","Green",562,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Levine, Kathleen   ","Labour",1639,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet","*","Rams, Robert P.","Conservative",2301,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Wardle, Elizabeth R.","Liberal Democrat",623,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Wicksteed, Charles E.K.","Liberal Democrat",421,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Arram, Joyce M.","Liberal Democrat",745,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Beard, Rachel A.","Conservative",1078,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Bury, James R.","Conservative",1073,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Church, Dominic A.","Liberal Democrat",640,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Lynch, Noel T.","Green",748,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley","*","McNeil, Andrew R.","Labour",1767,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley","*","Moore, Alison   ","Labour",1852,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Norman, Stephen P.H.","Green",586,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley","*","Rogers, Colin G.","Labour",1767,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Scott, John M.","Conservative",1080,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Sladowsky, Marianne","Liberal Democrat",555,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Abeles, Elias   ","Liberal Democrat",901,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Brodkin, Alexander   ","Labour",1068,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Goodman, Michael R.","Liberal Democrat",682,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Green, Debra   ","Green",276,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware","*","Hart, Helena D.","Conservative",2086,,,,,,,,,,,,,
